k_components,pca_components,scaler,distance_metrics
10,None,None,euclidean
11,None,None,euclidean
12,None,None,euclidean
13,None,None,euclidean
14,None,None,euclidean
15,None,None,euclidean
10,500,None,euclidean
11,500,None,euclidean
12,500,None,euclidean
13,500,None,euclidean
14,500,None,euclidean
15,500,None,euclidean
10,550,None,euclidean
11,550,None,euclidean
12,550,None,euclidean
13,550,None,euclidean
14,550,None,euclidean
15,550,None,euclidean
10,600,None,euclidean
11,600,None,euclidean
12,600,None,euclidean
13,600,None,euclidean
14,600,None,euclidean
15,600,None,euclidean
10,650,None,euclidean
11,650,None,euclidean
12,650,None,euclidean
13,650,None,euclidean
14,650,None,euclidean
15,650,None,euclidean
10,700,None,euclidean
11,700,None,euclidean
12,700,None,euclidean
13,700,None,euclidean
14,700,None,euclidean
15,700,None,euclidean
10,450,None,euclidean
11,450,None,euclidean
12,450,None,euclidean
13,450,None,euclidean
14,450,None,euclidean
15,450,None,euclidean
10,None,StandardScaler,euclidean
11,None,StandardScaler,euclidean
12,None,StandardScaler,euclidean
13,None,StandardScaler,euclidean
14,None,StandardScaler,euclidean
15,None,StandardScaler,euclidean
10,500,StandardScaler,euclidean
11,500,StandardScaler,euclidean
12,500,StandardScaler,euclidean
13,500,StandardScaler,euclidean
14,500,StandardScaler,euclidean
15,500,StandardScaler,euclidean
10,550,StandardScaler,euclidean
11,550,StandardScaler,euclidean
12,550,StandardScaler,euclidean
13,550,StandardScaler,euclidean
14,550,StandardScaler,euclidean
15,550,StandardScaler,euclidean
10,600,StandardScaler,euclidean
11,600,StandardScaler,euclidean
12,600,StandardScaler,euclidean
13,600,StandardScaler,euclidean
14,600,StandardScaler,euclidean
15,600,StandardScaler,euclidean
10,650,StandardScaler,euclidean
11,650,StandardScaler,euclidean
12,650,StandardScaler,euclidean
13,650,StandardScaler,euclidean
14,650,StandardScaler,euclidean
15,650,StandardScaler,euclidean
10,700,StandardScaler,euclidean
11,700,StandardScaler,euclidean
12,700,StandardScaler,euclidean
13,700,StandardScaler,euclidean
14,700,StandardScaler,euclidean
15,700,StandardScaler,euclidean
10,450,StandardScaler,euclidean
11,450,StandardScaler,euclidean
12,450,StandardScaler,euclidean
13,450,StandardScaler,euclidean
14,450,StandardScaler,euclidean
15,450,StandardScaler,euclidean
10,None,GrayScaler,euclidean
11,None,GrayScaler,euclidean
12,None,GrayScaler,euclidean
13,None,GrayScaler,euclidean
14,None,GrayScaler,euclidean
15,None,GrayScaler,euclidean
10,500,GrayScaler,euclidean
11,500,GrayScaler,euclidean
12,500,GrayScaler,euclidean
13,500,GrayScaler,euclidean
14,500,GrayScaler,euclidean
15,500,GrayScaler,euclidean
10,550,GrayScaler,euclidean
11,550,GrayScaler,euclidean
12,550,GrayScaler,euclidean
13,550,GrayScaler,euclidean
14,550,GrayScaler,euclidean
15,550,GrayScaler,euclidean
10,600,GrayScaler,euclidean
11,600,GrayScaler,euclidean
12,600,GrayScaler,euclidean
13,600,GrayScaler,euclidean
14,600,GrayScaler,euclidean
15,600,GrayScaler,euclidean
10,650,GrayScaler,euclidean
11,650,GrayScaler,euclidean
12,650,GrayScaler,euclidean
13,650,GrayScaler,euclidean
14,650,GrayScaler,euclidean
15,650,GrayScaler,euclidean
10,700,GrayScaler,euclidean
11,700,GrayScaler,euclidean
12,700,GrayScaler,euclidean
13,700,GrayScaler,euclidean
14,700,GrayScaler,euclidean
15,700,GrayScaler,euclidean
10,450,GrayScaler,euclidean
11,450,GrayScaler,euclidean
12,450,GrayScaler,euclidean
13,450,GrayScaler,euclidean
14,450,GrayScaler,euclidean
15,450,GrayScaler,euclidean
10,None,None,cosine
11,None,None,cosine
12,None,None,cosine
13,None,None,cosine
14,None,None,cosine
15,None,None,cosine
10,500,None,cosine
11,500,None,cosine
12,500,None,cosine
13,500,None,cosine
14,500,None,cosine
15,500,None,cosine
10,550,None,cosine
11,550,None,cosine
12,550,None,cosine
13,550,None,cosine
14,550,None,cosine
15,550,None,cosine
10,600,None,cosine
11,600,None,cosine
12,600,None,cosine
13,600,None,cosine
14,600,None,cosine
15,600,None,cosine
10,650,None,cosine
11,650,None,cosine
12,650,None,cosine
13,650,None,cosine
14,650,None,cosine
15,650,None,cosine
10,700,None,cosine
11,700,None,cosine
12,700,None,cosine
13,700,None,cosine
14,700,None,cosine
15,700,None,cosine
10,450,None,cosine
11,450,None,cosine
12,450,None,cosine
13,450,None,cosine
14,450,None,cosine
15,450,None,cosine
10,None,StandardScaler,cosine
11,None,StandardScaler,cosine
12,None,StandardScaler,cosine
13,None,StandardScaler,cosine
14,None,StandardScaler,cosine
15,None,StandardScaler,cosine
10,500,StandardScaler,cosine
11,500,StandardScaler,cosine
12,500,StandardScaler,cosine
13,500,StandardScaler,cosine
14,500,StandardScaler,cosine
15,500,StandardScaler,cosine
10,550,StandardScaler,cosine
11,550,StandardScaler,cosine
12,550,StandardScaler,cosine
13,550,StandardScaler,cosine
14,550,StandardScaler,cosine
15,550,StandardScaler,cosine
10,600,StandardScaler,cosine
11,600,StandardScaler,cosine
12,600,StandardScaler,cosine
13,600,StandardScaler,cosine
14,600,StandardScaler,cosine
15,600,StandardScaler,cosine
10,650,StandardScaler,cosine
11,650,StandardScaler,cosine
12,650,StandardScaler,cosine
13,650,StandardScaler,cosine
14,650,StandardScaler,cosine
15,650,StandardScaler,cosine
10,700,StandardScaler,cosine
11,700,StandardScaler,cosine
12,700,StandardScaler,cosine
13,700,StandardScaler,cosine
14,700,StandardScaler,cosine
15,700,StandardScaler,cosine
10,450,StandardScaler,cosine
11,450,StandardScaler,cosine
12,450,StandardScaler,cosine
13,450,StandardScaler,cosine
14,450,StandardScaler,cosine
15,450,StandardScaler,cosine
10,None,GrayScaler,cosine
11,None,GrayScaler,cosine
12,None,GrayScaler,cosine
13,None,GrayScaler,cosine
14,None,GrayScaler,cosine
15,None,GrayScaler,cosine
10,500,GrayScaler,cosine
11,500,GrayScaler,cosine
12,500,GrayScaler,cosine
13,500,GrayScaler,cosine
14,500,GrayScaler,cosine
15,500,GrayScaler,cosine
10,550,GrayScaler,cosine
11,550,GrayScaler,cosine
12,550,GrayScaler,cosine
13,550,GrayScaler,cosine
14,550,GrayScaler,cosine
15,550,GrayScaler,cosine
10,600,GrayScaler,cosine
11,600,GrayScaler,cosine
12,600,GrayScaler,cosine
13,600,GrayScaler,cosine
14,600,GrayScaler,cosine
15,600,GrayScaler,cosine
10,650,GrayScaler,cosine
11,650,GrayScaler,cosine
12,650,GrayScaler,cosine
13,650,GrayScaler,cosine
14,650,GrayScaler,cosine
15,650,GrayScaler,cosine
10,700,GrayScaler,cosine
11,700,GrayScaler,cosine
12,700,GrayScaler,cosine
13,700,GrayScaler,cosine
14,700,GrayScaler,cosine
15,700,GrayScaler,cosine
10,450,GrayScaler,cosine
11,450,GrayScaler,cosine
12,450,GrayScaler,cosine
13,450,GrayScaler,cosine
14,450,GrayScaler,cosine
15,450,GrayScaler,cosine
