num_epochs,learning_rate,lr_decay_factor,lr_decay_step,regularization,final_train_loss,final_valid_loss,final_train_acc,final_valid_acc
250,0.001,0.1,100,0,1.7145964354276657,1.6473993360996246,0.7595,0.795
250,0.001,0.1,100,0.001,1.4691579565405846,1.601631224155426,0.9955,0.865
250,0.001,0.1,100,0.01,1.5194005370140076,1.6229094862937927,0.9825,0.88
250,0.001,0.1,100,0.1,2.302496314048767,2.302556872367859,0.117,0.09
250,0.001,0.1,250,0,1.6692281775176525,1.6244112253189087,0.804,0.83
250,0.001,0.1,250,0.001,1.4682392701506615,1.6836053431034088,0.9965,0.845
250,0.001,0.1,250,0.01,1.5198416858911514,1.6036311089992523,0.9865,0.86
250,0.001,0.1,250,0.1,2.3025145679712296,2.3025689125061035,0.117,0.09
250,0.001,0.1,350,0,1.664434865117073,1.6578256487846375,0.803,0.82
250,0.001,0.1,350,0.001,1.4686988964676857,1.5880586802959442,0.996,0.855
250,0.001,0.1,350,0.01,1.5217044204473495,1.6157262325286865,0.9825,0.865
250,0.001,0.1,350,0.1,2.302509017288685,2.302509844303131,0.1,0.09
250,0.001,0.2,100,0,1.7084070704877377,1.6410772800445557,0.772,0.8
250,0.001,0.2,100,0.001,1.4672949500381947,1.6093442142009735,0.9975,0.865
250,0.001,0.2,100,0.01,1.5166859552264214,1.6160451471805573,0.986,0.86
250,0.001,0.2,100,0.1,2.302496522665024,2.302614450454712,0.117,0.09
250,0.001,0.2,250,0,1.6490234397351742,1.6382496058940887,0.827,0.815
250,0.001,0.2,250,0.001,1.466886568814516,1.6079468727111816,0.998,0.855
250,0.001,0.2,250,0.01,1.5179882645606995,1.6118588149547577,0.985,0.86
250,0.001,0.2,250,0.1,2.3024977147579193,2.3026363849639893,0.117,0.09
250,0.001,0.2,350,0,1.6577689610421658,1.6634873449802399,0.815,0.83
250,0.001,0.2,350,0.001,1.4683208093047142,1.6204724311828613,0.9965,0.855
250,0.001,0.2,350,0.01,1.5189474821090698,1.6128290593624115,0.984,0.875
250,0.001,0.2,350,0.1,2.302504926919937,2.3025755882263184,0.117,0.09
250,0.001,0.3,100,0,1.6965820863842964,1.668146550655365,0.779,0.815
250,0.001,0.3,100,0.001,1.4701897017657757,1.6236971020698547,0.9945,0.865
250,0.001,0.3,100,0.01,1.5179725512862206,1.6293163001537323,0.984,0.86
250,0.001,0.3,100,0.1,2.3025082275271416,2.3025755286216736,0.117,0.09
250,0.001,0.3,250,0,1.6760919727385044,1.6891282200813293,0.7925,0.81
250,0.001,0.3,250,0.001,1.4681087508797646,1.5868168771266937,0.997,0.88
250,0.001,0.3,250,0.01,1.5208406150341034,1.6236090660095215,0.9845,0.86
250,0.001,0.3,250,0.1,2.3025103732943535,2.3026293516159058,0.117,0.09
250,0.001,0.3,350,0,1.6402271278202534,1.646599143743515,0.832,0.8
250,0.001,0.3,350,0.001,1.4691189713776112,1.5885936915874481,0.9955,0.845
250,0.001,0.3,350,0.01,1.5226215198636055,1.6421469151973724,0.9845,0.85
250,0.001,0.3,350,0.1,2.3025035560131073,2.302612543106079,0.117,0.09
250,0.001,1,100,0,1.7049896456301212,1.6487867832183838,0.7725,0.82
250,0.001,1,100,0.001,1.4686301313340664,1.5747362673282623,0.996,0.865
250,0.001,1,100,0.01,1.5224616192281246,1.6068967282772064,0.983,0.845
250,0.001,1,100,0.1,2.302513211965561,2.302586555480957,0.117,0.09
250,0.001,1,250,0,1.6671265475451946,1.6632996201515198,0.8015,0.82
250,0.001,1,250,0.001,1.470515102148056,1.6023472845554352,0.994,0.855
250,0.001,1,250,0.01,1.5202648527920246,1.6372570991516113,0.984,0.86
250,0.001,1,250,0.1,2.3025026246905327,2.3024237751960754,0.117,0.09
250,0.001,1,350,0,1.6668639332056046,1.6393528580665588,0.8055,0.805
250,0.001,1,350,0.001,1.4705242775380611,1.6365119814872742,0.994,0.835
250,0.001,1,350,0.01,1.517992228269577,1.6378458142280579,0.9885,0.85
250,0.001,1,350,0.1,2.3025102615356445,2.3025088906288147,0.117,0.09
250,0.005,0.1,100,0,1.6864775121212006,1.6644390523433685,0.779,0.815
250,0.005,0.1,100,0.001,1.4685490541160107,1.5844915211200714,0.996,0.86
250,0.005,0.1,100,0.01,1.5173387974500656,1.679484248161316,0.984,0.855
250,0.005,0.1,100,0.1,2.3024958446621895,2.3025338649749756,0.117,0.09
250,0.005,0.1,250,0,1.6886727437376976,1.6437289714813232,0.7745,0.8
250,0.005,0.1,250,0.001,1.4719634540379047,1.5946490168571472,0.9945,0.87
250,0.005,0.1,250,0.01,1.5494877249002457,1.6742520332336426,0.953,0.855
250,0.005,0.1,250,0.1,2.3025393560528755,2.302807331085205,0.1035,0.09
250,0.005,0.1,350,0,1.7101221159100533,1.6487900018692017,0.7495,0.795
250,0.005,0.1,350,0.001,1.4745785258710384,1.6205668151378632,0.99,0.865
250,0.005,0.1,350,0.01,1.543894074857235,1.6636309027671814,0.957,0.83
250,0.005,0.1,350,0.1,2.302471287548542,2.303094267845154,0.1115,0.09
250,0.005,0.2,100,0,1.68190323933959,1.6511526703834534,0.7795,0.82
250,0.005,0.2,100,0.001,1.4663260616362095,1.6065716743469238,0.9985,0.885
250,0.005,0.2,100,0.01,1.520695760846138,1.6136894822120667,0.981,0.86
250,0.005,0.2,100,0.1,2.3024967312812805,2.3026089668273926,0.117,0.09
250,0.005,0.2,250,0,1.7249842546880245,1.6600511968135834,0.741,0.855
250,0.005,0.2,250,0.001,1.4706893041729927,1.6152765154838562,0.995,0.87
250,0.005,0.2,250,0.01,1.542677879333496,1.6479909718036652,0.9565,0.85
250,0.005,0.2,250,0.1,2.3025495931506157,2.3033108711242676,0.1135,0.09
250,0.005,0.2,350,0,1.711087677627802,1.682298630475998,0.7495,0.805
250,0.005,0.2,350,0.001,1.4861885756254196,1.6455894112586975,0.978,0.83
250,0.005,0.2,350,0.01,1.5422733053565025,1.6620498895645142,0.9645,0.845
250,0.005,0.2,350,0.1,2.302522987127304,2.303239405155182,0.1145,0.09
250,0.005,0.3,100,0,1.6666379794478416,1.6583758294582367,0.7985,0.82
250,0.005,0.3,100,0.001,1.469068143516779,1.634057730436325,0.9955,0.875
250,0.005,0.3,100,0.01,1.5168652050197124,1.6131980419158936,0.9855,0.85
250,0.005,0.3,100,0.1,2.3025078549981117,2.302504777908325,0.117,0.09
250,0.005,0.3,250,0,1.6857506223022938,1.6878570020198822,0.7755,0.815
250,0.005,0.3,250,0.001,1.4707459658384323,1.5766316950321198,0.995,0.865
250,0.005,0.3,250,0.01,1.5452367514371872,1.6405978798866272,0.9555,0.85
250,0.005,0.3,250,0.1,2.3025140538811684,2.3033018708229065,0.116,0.09
250,0.005,0.3,350,0,1.7011362984776497,1.6451955437660217,0.7605,0.83
250,0.005,0.3,350,0.001,1.477445114403963,1.6292301714420319,0.989,0.83
250,0.005,0.3,350,0.01,1.5544294714927673,1.6713918149471283,0.946,0.82
250,0.005,0.3,350,0.1,2.302541621029377,2.3029895424842834,0.1085,0.09
250,0.005,1,100,0,1.680238552391529,1.704039990901947,0.7765,0.83
250,0.005,1,100,0.001,1.4699535518884659,1.6173107028007507,0.9955,0.855
250,0.005,1,100,0.01,1.5465275645256042,1.6292129755020142,0.9595,0.835
250,0.005,1,100,0.1,2.3025344014167786,2.3031334280967712,0.109,0.11
250,0.005,1,250,0,1.6908436305820942,1.6545591056346893,0.768,0.825
250,0.005,1,250,0.001,1.4831188097596169,1.645775556564331,0.982,0.84
250,0.005,1,250,0.01,1.5459390915930271,1.6393970549106598,0.9515,0.87
250,0.005,1,250,0.1,2.3025321140885353,2.3031947016716003,0.109,0.09
250,0.005,1,350,0,1.6773770414292812,1.660689800977707,0.7855,0.78
250,0.005,1,350,0.001,1.5071216933429241,1.6006104350090027,0.961,0.81
250,0.005,1,350,0.01,1.5420026890933514,1.6061099469661713,0.957,0.845
250,0.005,1,350,0.1,2.30252655595541,2.3026878237724304,0.104,0.11
250,0.01,0.1,100,0,1.729718565940857,1.632582426071167,0.729,0.78
250,0.01,0.1,100,0.001,1.4695622026920319,1.5839613676071167,0.995,0.855
250,0.01,0.1,100,0.01,1.5246679820120335,1.660437434911728,0.9765,0.85
250,0.01,0.1,100,0.1,2.3024990260601044,2.302709698677063,0.117,0.09
250,0.01,0.1,250,0,1.739120900630951,1.6912090480327606,0.722,0.775
250,0.01,0.1,250,0.001,1.495186023414135,1.5672201216220856,0.971,0.86
250,0.01,0.1,250,0.01,1.584544401615858,1.628851056098938,0.917,0.79
250,0.01,0.1,250,0.1,2.3025709465146065,2.3030173778533936,0.1075,0.11
250,0.01,0.1,350,0,1.8196991570293903,1.6408075988292694,0.638,0.77
250,0.01,0.1,350,0.001,1.517578948289156,1.6988033950328827,0.9515,0.84
250,0.01,0.1,350,0.01,1.593674324452877,1.6923940181732178,0.9035,0.81
250,0.01,0.1,350,0.1,2.3024946227669716,2.303237020969391,0.113,0.11
250,0.01,0.2,100,0,1.7319055311381817,1.672682523727417,0.7295,0.8
250,0.01,0.2,100,0.001,1.4677433334290981,1.607562005519867,0.997,0.87
250,0.01,0.2,100,0.01,1.529223769903183,1.6567472219467163,0.9735,0.84
250,0.01,0.2,100,0.1,2.3025053590536118,2.302578866481781,0.117,0.09
250,0.01,0.2,250,0,1.8142219558358192,1.6839210391044617,0.644,0.785
250,0.01,0.2,250,0.001,1.5006970651447773,1.6753950119018555,0.9675,0.82
250,0.01,0.2,250,0.01,1.5826203152537346,1.6373559832572937,0.9125,0.84
250,0.01,0.2,250,0.1,2.3025163263082504,2.3033370971679688,0.1075,0.11
250,0.01,0.2,350,0,1.794079028069973,1.6661597192287445,0.6695,0.77
250,0.01,0.2,350,0.001,1.5004272907972336,1.5734711587429047,0.9635,0.865
250,0.01,0.2,350,0.01,1.5816495344042778,1.6390776336193085,0.923,0.82
250,0.01,0.2,350,0.1,2.302534058690071,2.3032023310661316,0.1095,0.09
250,0.01,0.3,100,0,1.7008975967764854,1.6844380497932434,0.7595,0.785
250,0.01,0.3,100,0.001,1.4667649790644646,1.5707124471664429,0.998,0.87
250,0.01,0.3,100,0.01,1.524448461830616,1.6126591861248016,0.9795,0.835
250,0.01,0.3,100,0.1,2.3024979308247566,2.302694320678711,0.117,0.09
250,0.01,0.3,250,0,1.797301396727562,1.7423764765262604,0.655,0.78
250,0.01,0.3,250,0.001,1.495394293218851,1.646527111530304,0.971,0.835
250,0.01,0.3,250,0.01,1.5745286606252193,1.6240092813968658,0.922,0.81
250,0.01,0.3,250,0.1,2.302524223923683,2.303314507007599,0.108,0.11
250,0.01,0.3,350,0,1.8260430172085762,1.6770948469638824,0.636,0.795
250,0.01,0.3,350,0.001,1.502712793648243,1.5736341178417206,0.9635,0.86
250,0.01,0.3,350,0.01,1.5829996094107628,1.7042342722415924,0.9135,0.81
250,0.01,0.3,350,0.1,2.3025848865509033,2.2994300723075867,0.1015,0.115
250,0.01,1,100,0,1.800692692399025,1.6524639427661896,0.66,0.79
250,0.01,1,100,0.001,1.4931937754154205,1.6598676443099976,0.9715,0.8
250,0.01,1,100,0.01,1.5833656713366508,1.631471335887909,0.9145,0.815
250,0.01,1,100,0.1,2.3025367334485054,2.3030987977981567,0.104,0.1
250,0.01,1,250,0,1.7899684607982635,1.6746801435947418,0.6745,0.765
250,0.01,1,250,0.001,1.4905780926346779,1.5749563574790955,0.9745,0.86
250,0.01,1,250,0.01,1.5907463692128658,1.718603402376175,0.899,0.81
250,0.01,1,250,0.1,2.3025434017181396,2.303137481212616,0.1035,0.11
250,0.01,1,350,0,1.7853305041790009,1.6247093081474304,0.678,0.79
250,0.01,1,350,0.001,1.4854100607335567,1.6160598695278168,0.9775,0.84
250,0.01,1,350,0.01,1.5803838483989239,1.6267828941345215,0.9155,0.84
250,0.01,1,350,0.1,2.3025421127676964,2.3030529022216797,0.1035,0.09
550,0.001,0.1,100,0,1.7336563616991043,1.7007861137390137,0.753,0.81
550,0.001,0.1,100,0.001,1.469271007925272,1.571583092212677,0.9955,0.87
550,0.001,0.1,100,0.01,1.5215764455497265,1.6081819832324982,0.9795,0.87
550,0.001,0.1,100,0.1,2.3024963214993477,2.302564799785614,0.117,0.09
550,0.001,0.1,250,0,1.6347928121685982,1.6821399331092834,0.84,0.805
550,0.001,0.1,250,0.001,1.4655639417469501,1.623714417219162,0.999,0.86
550,0.001,0.1,250,0.01,1.5141425430774689,1.6178836822509766,0.9895,0.86
550,0.001,0.1,250,0.1,2.302503675222397,2.3026179671287537,0.117,0.09
550,0.001,0.1,350,0,1.63890315964818,1.636271208524704,0.835,0.815
550,0.001,0.1,350,0.001,1.4679750613868237,1.571484625339508,0.9965,0.88
550,0.001,0.1,350,0.01,1.514835961163044,1.6779011487960815,0.9855,0.855
550,0.001,0.1,350,0.1,2.3024980649352074,2.3026280999183655,0.117,0.09
550,0.001,0.2,100,0,1.7148467004299164,1.5898466408252716,0.758,0.86
550,0.001,0.2,100,0.001,1.4692389145493507,1.5697931051254272,0.9955,0.87
550,0.001,0.2,100,0.01,1.5176340378820896,1.649364948272705,0.985,0.875
550,0.001,0.2,100,0.1,2.3024941235780716,2.3025174736976624,0.117,0.09
550,0.001,0.2,250,0,1.6312371045351028,1.6641916632652283,0.8395,0.825
550,0.001,0.2,250,0.001,1.4689230658113956,1.5772902965545654,0.9955,0.875
550,0.001,0.2,250,0.01,1.5165230333805084,1.599437803030014,0.984,0.855
550,0.001,0.2,250,0.1,2.302491545677185,2.3025315403938293,0.117,0.09
550,0.001,0.2,350,0,1.622590582817793,1.6449902951717377,0.8515,0.82
550,0.001,0.2,350,0.001,1.4665349908173084,1.5880285203456879,0.998,0.855
550,0.001,0.2,350,0.01,1.5124474167823792,1.6423687636852264,0.9905,0.865
550,0.001,0.2,350,0.1,2.302502103149891,2.302686929702759,0.117,0.09
550,0.001,0.3,100,0,1.6795064881443977,1.634272962808609,0.79,0.82
550,0.001,0.3,100,0.001,1.4667941220104694,1.5850630104541779,0.998,0.89
550,0.001,0.3,100,0.01,1.5161782689392567,1.621372014284134,0.9865,0.865
550,0.001,0.3,100,0.1,2.30249747633934,2.3025383353233337,0.117,0.09
550,0.001,0.3,250,0,1.6171110719442368,1.6343909800052643,0.8555,0.805
550,0.001,0.3,250,0.001,1.4670755378901958,1.619883269071579,0.9975,0.875
550,0.001,0.3,250,0.01,1.5120226554572582,1.6367875933647156,0.9905,0.88
550,0.001,0.3,250,0.1,2.302495889365673,2.3025518655776978,0.117,0.09
550,0.001,0.3,350,0,1.6231718249619007,1.6302126944065094,0.844,0.825
550,0.001,0.3,350,0.001,1.4676572903990746,1.5945315957069397,0.997,0.89
550,0.001,0.3,350,0.01,1.5147726312279701,1.648276537656784,0.9865,0.855
550,0.001,0.3,350,0.1,2.302502781152725,2.302538275718689,0.117,0.09
550,0.001,1,100,0,1.6168460063636303,1.6137911677360535,0.851,0.805
550,0.001,1,100,0.001,1.4680030979216099,1.6289426982402802,0.9965,0.86
550,0.001,1,100,0.01,1.5168019458651543,1.6285816729068756,0.9875,0.85
550,0.001,1,100,0.1,2.3025135174393654,2.302560031414032,0.117,0.09
550,0.001,1,250,0,1.6077697835862637,1.6003584265708923,0.8595,0.825
550,0.001,1,250,0.001,1.4661299549043179,1.6179681420326233,0.9985,0.855
550,0.001,1,250,0.01,1.5207676999270916,1.6261469423770905,0.986,0.855
550,0.001,1,250,0.1,2.3024904876947403,2.3023529052734375,0.117,0.09
550,0.001,1,350,0,1.603365235030651,1.6206762492656708,0.862,0.835
550,0.001,1,350,0.001,1.465023122727871,1.6251214742660522,0.999,0.855
550,0.001,1,350,0.01,1.5178371146321297,1.6224258840084076,0.989,0.865
550,0.001,1,350,0.1,2.3025242909789085,2.302488148212433,0.117,0.09
550,0.005,0.1,100,0,1.6692650504410267,1.639579027891159,0.8,0.8
550,0.005,0.1,100,0.001,1.4689065515995026,1.596849113702774,0.9955,0.865
550,0.005,0.1,100,0.01,1.518945150077343,1.6645144820213318,0.983,0.845
550,0.005,0.1,100,0.1,2.302502855658531,2.302563965320587,0.117,0.09
550,0.005,0.1,250,0,1.6374229043722153,1.670273095369339,0.829,0.835
550,0.005,0.1,250,0.001,1.4660458602011204,1.6277397871017456,0.9985,0.865
550,0.005,0.1,250,0.01,1.5163729190826416,1.6355646550655365,0.9845,0.855
550,0.005,0.1,250,0.1,2.302509091794491,2.3025471568107605,0.117,0.09
550,0.005,0.1,350,0,1.6365381516516209,1.6103917956352234,0.8275,0.81
550,0.005,0.1,350,0.001,1.46675643324852,1.643868625164032,0.998,0.87
550,0.005,0.1,350,0.01,1.5199736692011356,1.659856915473938,0.983,0.855
550,0.005,0.1,350,0.1,2.302506111562252,2.302533268928528,0.117,0.09
550,0.005,0.2,100,0,1.6698517687618732,1.583923101425171,0.7955,0.845
550,0.005,0.2,100,0.001,1.4670912325382233,1.6345916092395782,0.9975,0.88
550,0.005,0.2,100,0.01,1.516115602105856,1.6469476819038391,0.9845,0.865
550,0.005,0.2,100,0.1,2.3025022149086,2.3025442361831665,0.117,0.09
550,0.005,0.2,250,0,1.6344718858599663,1.5959492027759552,0.8275,0.83
550,0.005,0.2,250,0.001,1.468408975750208,1.608963668346405,0.996,0.87
550,0.005,0.2,250,0.01,1.5150522254407406,1.6508979201316833,0.9875,0.87
550,0.005,0.2,250,0.1,2.302491672337055,2.3025571703910828,0.117,0.09
550,0.005,0.2,350,0,1.627572190016508,1.61507648229599,0.837,0.815
550,0.005,0.2,350,0.001,1.4667063243687153,1.6058418452739716,0.998,0.85
550,0.005,0.2,350,0.01,1.5217972733080387,1.6648753583431244,0.9815,0.835
